taxa	clade
A_Egypt_ZU63_2016	G1-A
A_chicken_Egypt_6_2015	G1-A
A_chicken_Egypt_1529FAO-SF_2015	G1-A
A_chicken_Egypt_ABD5_2015	G1-A
A_chicken_Egypt_15758V_2015	G1-A
A_chicken_Egypt_BSU4614-AR2216_2014	G1-A
A_chicken_Egypt_Q10429E_2014	G1-A
A_chicken_Egypt_Q10660B_2015	G1-A
A_chicken_Egypt_14246V_2014	G1-A
A_chicken_Egypt_15685V_2015	G1-A
A_chicken_Egypt_15156VG_2015	G1-A
A_chicken_Egypt_15535V_2015	G1-A
A_chicken_Egypt_48Ob-NRC-CU_2014	G1-A
A_chicken_Egypt_S10597A_2015	G1-A
A_chicken_Egypt_D10789_2015	G1-A
A_chicken_Egypt_A1093D_2015	G1-A
A_chicken_Egypt_S10916B_2015	G1-A
A_chicken_Egypt_1558VD_2015	G1-A
A_Chicken_Egypt_CL79_2013	G1-A
A_Chicken_Egypt_CL83_2013	G1-A
A_Chicken_Egypt_CL80_2013	G1-A
A_chicken_Egypt_NLQP123VD-AR758_2013	G1-A
A_chicken_Egypt_13342V_2013	G1-A
A_chicken_Egypt_BSU3614-AR2212_2014	G1-A
A_chicken_Egypt_A-chicken-1_2017	G1-A
A_chicken_Egypt_BSU4714-AR2217_2014	G1-A
A_chicken_Egypt_S5018B_2012	G1-A
A_chicken_Egypt_S5018A_2012	G1-A
A_chicken_Egypt_S5018D_2012	G1-A
A_chicken_Egypt_D4905B_2012	G1-A
A_chicken_Egypt_D4907A_2012	G1-A
A_chicken_Egypt_D4905A_2012	G1-A
A_chicken_Egypt_115542V_2011	G1-A
A_chicken_Egypt_115512V_2011	G1-A
A_chicken_Egypt_152537V_2015	G1-A
A_chicken_Egypt_15848V_2015	G1-A
A_chicken_Egypt_1658SL_2016	G1-A
A_chicken_Egypt_1519FAO-SF_2015	G1-A
A_chicken_Egypt_v700_2015	G1-A
A_chicken_Egypt_F10285D_2014	G1-A
A_chicken_Egypt_BSU4214-AR2215_2014	G1-A
A_chicken_Egypt_F9883C_2014	G1-A
A_chicken_Egypt_1474V_2014	G1-A
A_chicken_Egypt_4_2014	G1-A
A_chicken_Egypt_1_2014	G1-A
A_chicken_Egypt_F9516B_2014	G1-A
A_chicken_Egypt_141794V_2014	G1-A
A_chicken_Egypt_1455V_2014	G1-A
A_chicken_Egypt_AR241-15_2014	G1-A
A_Chicken_Egypt_BSU21KMB-AR2188_2013	G1-A
A_chicken_Egypt_BSU32KMB-AR2194_2013	G1-A
A_chicken_Egypt_BSU-BS-M33_2012	G1-A
A_chicken_Egypt_BSU-FA-M28_2012	G1-A
A_chicken_Egypt_BSU-BS-M35_2012	G1-A
A_turkey_Egypt_1386S_2013	G1-A
A_chicken_Egypt_BSU-FA-K9_2012	G1-A
A_chicken_Egypt_BSU-BS-K7_2012	G1-A
A_chicken_Egypt_D5490B_2012	G1-A
A_chicken_Egypt_S5442E_2012	G1-A
A_chicken_Egypt_S5442C_2012	G1-A
A_chicken_Egypt_S5440E_2012	G1-A
A_chicken_Egypt_1240V_2012	G1-A
A_chicken_Egypt_115583V_2011	G1-A
A_QUAIL_Egypt_152890V_2015	G1-A
A_quail_Egypt_152792V_2015	G1-A
A_quail_Egypt_14864V_2014	G1-A
A_quail_Egypt_141267V_2014	G1-A
A_quail_Egypt_122313V_2012	G1-A
A_chicken_Egypt_115617V_2011	G1-A
A_chicken_Egypt_11vir4453-273_2011	G1-A
A_chicken_Egypt_11vir4453-272_2011	G1-A
A_chicken_El_Fayoum_CAI25_2011	G1-A
A_chicken_Egypt_D7663C_2013	G1-A
A_chicken_Egypt_NLQP194V-AR756_2013	G1-A
A_chicken_Egypt_123140V_2012	G1-A
A_chicken_Egypt_1256S_2012	G1-A
A_turkey_Egypt_1341V_2013	G1-A
A_chicken_Egypt_123245V_2012	G1-A
A_chicken_Egypt_123243V_2012	G1-A
A_chicken_Egypt_D4692A_2012	G1-A
A_chicken_Egypt_D9817E_2014	G1-A
A_duck_Egypt_C9787_2014	G1-A
A_chicken_Egypt_C9742_2014	G1-A
A_chicken_Egypt_S9668D_2014	G1-A
A_chicken_Egypt_S9645_2014	G1-A
A_chicken_Egypt_S9652E_2014	G1-A
A_chicken_Egypt_D9570B_2014	G1-A
A_chicken_Egypt_Q9394E_2014	G1-A
A_chicken_Egypt_D9377_2014	G1-A
A_chicken_Egypt_D9326C_2013	G1-A
A_pigeon_Egypt_S10408B_2014	G1-A
A_chicken_Egypt_S10490_2015	G1-A
A_chicken_Egypt_S10312C_2014	G1-A
A_chicken_Egypt_S10489C_2015	G1-A
A_pigeon_Egypt_S10409A_2014	G1-A
A_chicken_Egypt_5_2014	G1-A
A_chicken_Egypt_NLQP758V-AR759_2013	G1-A
A_chicken_Egypt_BSU35KMB-AR2196_2013	G1-A
A_chicken_Egypt_SCU20_2014	G1-A
A_chicken_Egypt_D7108E_2013	G1-A
A_chicken_Egypt_D7099_2013	G1-A
A_chicken_Egypt_D7100_2013	G1-A
A_chicken_Egypt_S7018B_2013	G1-A
A_chicken_Egypt_S7025C_2013	G1-A
A_chicken_Egypt_D7436C_2013	G1-A
A_chicken_Egypt_S7022D_2013	G1-A
A_chicken_Egypt_1373Vd_2013	G1-A
A_chicken_Egypt_NLQP73VD-AR755_2013	G1-A
A_chicken_Egypt_CL42_2013	G1-A
A_quail_Egypt_D9842_2014	G1-A
A_chicken_Egypt_BSU-FA-K2_2012	G1-A
A_chicken_Egypt_1231B_2012	G1-A
A_chicken_Egypt_BSU-FA-K3_2012	G1-A
